UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
127884,2,0,0,2,2,2,2,19
127909,2,0,0,2,2,2,2,21
127918,1,0,1,2,1,1,1,12
127945,2,50,0,2,2,2,2,10
127954,2,250,-2,2,2,2,2,15
128106,1,25,1,1,1,1,1,15
128151,2,0,-2,2,2,2,2,23
128179,2,0,0,2,2,2,2,22
128188,2,0,0,2,2,2,2,18
128258,1,0,0,2,2,2,2,12
128300,-2,,-2,-2,-2,-2,-2,
128328,1,0,1,1,1,1,1,7
128337,2,125,-2,-2,-2,-2,-2,20
128391,1,30,1,1,1,2,1,18
128498,1,35,1,2,1,1,2,14
128577,2,0,0,2,2,2,2,15
128586,2,0,0,2,2,2,2,7
128674,2,100,-2,-2,-2,-2,-2,22
128744,1,25,1,2,1,1,1,16
128771,1,50,1,1,1,1,1,14
128780,2,50,0,2,2,2,2,14
128896,2,0,-2,-2,-2,-2,-2,15
128902,1,0,1,2,1,2,1,9
129002,2,25,-2,-2,-2,-2,-2,10
129020,1,80,1,1,1,1,1,16
129154,1,50,0,2,2,2,2,10
129181,1,0,-2,2,2,2,2,18
129215,1,50,1,2,1,1,1,15
129242,1,60,1,2,1,1,1,12
129349,2,100,-2,-2,-2,-2,-2,15
129367,2,20,0,2,2,2,2,14
129428,2,,0,2,2,2,2,
129482,2,25,-2,2,2,2,2,14
129491,1,,0,2,2,2,2,
129525,1,35,1,2,1,1,1,9
129534,2,50,0,2,2,2,2,6
129543,2,20,0,2,2,2,2,17
129695,2,20,0,2,2,2,2,19
129729,2,0,0,2,2,2,2,15
129756,2,20,0,2,2,2,2,15
129774,1,30,1,2,1,1,1,13
129808,2,20,0,2,2,2,2,15
129923,2,0,-2,-2,-2,-2,-2,14
129932,2,100,-2,-2,-2,-2,-2,20
129941,1,50,1,1,1,1,1,16
130004,2,0,0,2,2,2,2,18
130040,2,0,0,2,2,2,2,15
130110,2,25,0,2,2,2,2,3
130174,2,35,-2,-2,-2,-2,-2,10
130183,1,0,1,2,1,1,1,21
130217,2,0,0,2,2,2,2,14
130226,1,65,1,2,1,1,1,12
130253,1,50,1,1,1,1,1,13
130314,1,50,1,2,1,2,1,10
130396,2,20,0,2,2,2,2,15
130493,1,50,1,1,1,1,1,13
130509,2,0,-2,2,2,2,2,15
